Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,2.0859398890530292e-08
1.0,2.0,1.5,2.0859398890530292e-08
2.0,3.0,2.5,0.00020861484830419342
3.0,4.0,3.5,0.0006258028261147992
4.0,5.0,4.5,0.0016687727706413138
5.0,6.0,5.5,0.004380494626410251
6.0,7.0,6.5,0.006883622493273887
7.0,8.0,7.5,0.009803938337948128
8.0,9.0,8.5,0.01147269024919055
9.0,10.0,9.5,0.01856488587197085
10.0,11.0,10.5,0.025657081494751148
11.0,12.0,11.5,0.04151022465155417
12.0,13.0,12.5,0.05423445797477764
13.0,14.0,13.5,0.09720481968927004
14.0,15.0,14.5,0.08614933827728899
15.0,16.0,15.5,0.10930327104577761
16.0,17.0,16.5,0.11910718852432683
17.0,18.0,17.5,0.14059236938157305
18.0,19.0,18.5,0.12786813605834957
19.0,20.0,19.5,0.1447642491596791
