Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-1.5381602382994557
1.0,2.0,1.5,-1.5381602382994557
2.0,3.0,2.5,-1.5381602382994557
3.0,4.0,3.5,-1.5381602382994557
4.0,5.0,4.5,-1.5381602382994557
5.0,6.0,5.5,0.7643348596442568
6.0,7.0,6.5,1.1008042391471022
7.0,8.0,7.5,0.3488924412313605
8.0,9.0,8.5,0.40772848249054633
9.0,10.0,9.5,0.3076594346888718
10.0,11.0,10.5,0.22542490158937595
11.0,12.0,11.5,0.17296834253167148
12.0,13.0,12.5,0.0874715404501752
13.0,14.0,13.5,-0.44777872086280585
14.0,15.0,14.5,-0.3817286507239007
15.0,16.0,15.5,0.04783379603273054
16.0,17.0,16.5,0.11049791217497022
17.0,18.0,17.5,0.24528998775947963
18.0,19.0,18.5,0.14943221943403356
19.0,20.0,19.5,0.20154235690597455
