Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-3.185267096469276
1.0,2.0,1.5,-3.185267096469276
2.0,3.0,2.5,-3.185267096469276
3.0,4.0,3.5,-3.185267096469276
4.0,5.0,4.5,-3.185267096469276
5.0,6.0,5.5,6.718270454816893
6.0,7.0,6.5,-3.185267096469276
7.0,8.0,7.5,6.718270454816893
8.0,9.0,8.5,7.1237188969528065
9.0,10.0,9.5,7.1237188969528065
10.0,11.0,10.5,-0.8827719985255639
11.0,12.0,11.5,-0.3819536840143443
12.0,13.0,12.5,9.521583867271826
13.0,14.0,13.5,9.662662066808776
14.0,15.0,14.5,-0.14079227654634874
15.0,16.0,15.5,-1.010533102060428
16.0,17.0,16.5,0.5758353498026438
17.0,18.0,17.5,0.24867172216775318
18.0,19.0,18.5,-0.0942723691363122
19.0,20.0,19.5,0.07278136587723799
