Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,1.6392905150650798e-06
1.0,2.0,1.5,1.6392905150650798e-06
2.0,3.0,2.5,1.6392905150650798e-06
3.0,4.0,3.5,1.6392905150650798e-06
4.0,5.0,4.5,1.6392905150650798e-06
5.0,6.0,5.5,1.6392905150650798e-06
6.0,7.0,6.5,1.6392905150650798e-06
7.0,8.0,7.5,0.01639454444116586
8.0,9.0,8.5,1.6392905150650798e-06
9.0,10.0,9.5,1.6392905150650798e-06
10.0,11.0,10.5,1.6392905150650798e-06
11.0,12.0,11.5,0.08196616504376905
12.0,13.0,12.5,0.09835907019441985
13.0,14.0,13.5,0.049180354742467465
14.0,15.0,14.5,0.18032359594767383
15.0,16.0,15.5,0.13114488049572146
16.0,17.0,16.5,0.03278744959181666
17.0,18.0,17.5,0.24589521655027702
18.0,19.0,18.5,0.06557325989311825
19.0,20.0,19.5,0.09835907019441985
