Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-2.1065350760362764
1.0,2.0,1.5,-2.1065350760362764
2.0,3.0,2.5,-2.1065350760362764
3.0,4.0,3.5,-2.1065350760362764
4.0,5.0,4.5,-2.1065350760362764
5.0,6.0,5.5,7.797002475249894
6.0,7.0,6.5,-2.1065350760362764
7.0,8.0,7.5,7.797002475249894
8.0,9.0,8.5,8.202450917385807
9.0,10.0,9.5,8.202450917385807
10.0,11.0,10.5,-0.49713716240221717
11.0,12.0,11.5,0.0036561549212473675
12.0,13.0,12.5,0.29132989428274336
13.0,14.0,13.5,-0.2607224204902398
14.0,15.0,14.5,0.9379397438866517
15.0,16.0,15.5,0.9844596512966882
16.0,17.0,16.5,-0.29125706943158153
17.0,18.0,17.5,-0.058853119690970825
18.0,19.0,18.5,-0.40179721099503624
19.0,20.0,19.5,-0.23474347598148612
